content,score,Label
"Mohon maaf untuk kinerja dan pelayananya, saya sudah ajukan pylater berkali2x dengan data yg benar. Trimksh atas ketidak percayaan pihak traveloka dan mohon data saya di hilangkan juga",1,Negatif
"Kalo aku lagi buka aplikasi lain, kenapa aku selalu masuk ke traveloka nya! Aku lagi main game eh tiba-tiba malah masuk ke aplikasinya, ngeselin banget taulah!",1,Negatif
perjalanan jadi lebih mudah,5,Positif
"terimakasih traveloka,sangat membantu saya untuk mendapatkan tiket dg mudah.",5,Positif
pross gampang dan menyenangkan,5,Positif
"cepat, praktis, memudahkan",5,Positif
Hasil cepat dan mudah serta memuaskan,5,Positif
mantap dan cepat,5,Positif
apk nya bagus hrga juga ok hanya sja bingung dg kriteria paylater nya dibayar saldo aku gak kembali,5,Positif
"App Traveloka Ini sangat membantu ,tapi sangat di sayangkan aja ,harga tiket yang di Tampilkan itu murah dan disaat sudah capek capek isi semua data ,pas mau pembayaran, Harganya naik 2x lipat 🙃🙃",2,Negatif
Harga yg tertera tidak sesuai dan makin mahal .ada kode unik dan pelayanan harus di bayar dan untuk mengirim bukti pembayaran harus kita sendiri yg mengetik email dan mengirimnya makin rumit aja .dulu sudah transfer lansung masuk di emaill,1,Negatif
"selalu mudah dan fumgsional, selalu mantap",5,Positif
Mantap & cepat,5,Positif
muantap mudah dan efisien,5,Positif
"Saya booking apartemen untuk 3 hari, sudah lunas, dan konfirmasi jam check in.namun pada jam yg sudah diinfokan tidak ada pemilil property di lokasi, dan kontak yg dicantumkan justru platform lain (trav****). 1 jam baru direspon dan dipindah ke unit lain bahkan pindah tower. Diminta menunggu 2 jam. Payah sekali. Mengecewakan",1,Negatif
saya sangat sukak pakai aplikasi Traveloka Krn sangat mudah untuk ber transaksi .. traveling k. mana aja TKS u,5,Positif
operasional mudah dan lancar,5,Positif
Traveloka akhir² ini susah banget loginnya. Knp ya?? Beda dng aplikasi tiket pesawat yg lain.,2,Negatif
Kecewa telat pembayaran 1hari level sama limit turunnya gede dari level 5 jadi 1 limit kecewa....... Udah mah bayar pade denda keterlambatan kecewa....,1,Negatif
Sudah lama memgunakan traveloka bagus..,5,Positif
good job. Mohon aktif kan paylater saya lagi..saya sangat butuh untuk perjalanan ke luar daerah yg hampir setiap bulan saya jalani terimakasih,5,Positif
bgs dan cepat prosesnya,5,Positif
"oke pake banget aplikasiny, tapi kalau bisa lebih mirah lagi harga2nya",5,Positif
Sangatt burukk!! Tranfer lewat virtual akun Saldonya gak masuk!! Hilang saldoku bangsatt,1,Negatif
"Programernya tolol, aplikasi kebanyakan popup, bikin lieur...ribet",1,Negatif
sangat mudah di gunakan. pembayaran juga mudah di lakukan,5,Positif
"waktu pembayaran Via transfer HARUSNYA 24JAM, iya kalau yg mau beli tiket orang kota dimana-mana ada ATM. Kalau jauh dari kota ga ada ATM trus gimana, sulit kan.? tolong diperbaiki",4,Positif
"Kak ini gmna point nya bisa masuk ya kak, saya udh beli tiket kereta api tiket hotel dan tiket travel tpi poin nya gak ada yg masuk kak",5,Positif
"Baru update, lgi minta update. Update aplikasi terus. Klo blm fix jngan di share. Biar update 2 bulan sekali lah.",2,Negatif
"mudah dalam pembelian tiket, semoga semua berjalan dengan baik",5,Positif
biar mencari harga yg sesuai kantong kita,5,Positif
"Terima kasih Traveloka, ini sangat membantu sekali",5,Positif
"UI designnya buat bingung, dari segi pelayanannya terlalu lambat tidak sesuai dengan moto (2 reschedule yang dilakukan dalam kurun waktu 6 bulan tidak ada yang beres) Tolong di benahi seluruh aspek yang ada, baik dari segi desain aplikasi agar lebih mudah dan nyaman di gunakan dan dari sistem pelayanan",2,Negatif
bagus dan mudah bertransaksi,5,Positif
aplikasi Bagus banget sangat membantu pengguna Nya,5,Positif
"Tolong donk untuk pengembalian dana jangan lamaaa.. Kita bayar pake duit,duitnya perlu lagi buat beli tiket baru,,ini maskapai seenaknya aja cancel penerbangan..refund lamaaa",2,Negatif
Virtual Number nya jadi ga bisa padahal sebelum nya bisa bertransaksi dengan lancar pembayaran juga ga pernah telat. Aneh nih aplikasi nya. Kalau emang ga boleh belanja di luar aplikasi ya jangan diadain. Dah mau bangkrut aja pake banyak gaya Pantes kalah saing sama sebelah yg jor2an diskon nya.,1,Negatif
"Pilihan pembayaran BRI selalu dalam maintenance, kapan diperbaiki nya 🤦🏽🤦🏽🤦🏽",2,Negatif
"sangat jelek, saya lagi booking tiba2 harga langsung berubah",1,Negatif
Perjalanan jadi banyak kemudahan. Terima kasih.,5,Positif
Tetap ok by traveloka Hotel +ticket lebih seru,5,Positif
"proses pemesanan cepat, proses reschedule mudah dan cepat",5,Positif
"Ini traaveloka kenapa lelet bgt ya menanggapi masalah serius menurut gw , jadi gw transfer salah nominal tapi udah kirim bukti gak dibales2 udah nunggu 30 menit",4,Positif
saya sangat suka dengan pelayanan traveloka,5,Positif
"Saya tidak bisa memasukkan data diri penumpang, padahal sebelumnya bisa",3,
"Transaksi Mudah, Kepastian Berangkat Aman. Terimakasih Traveloka",5,Positif
keren membantu bgt buat yg suka travelling..keren pokoknya playanannya.....,5,Positif
"Notifikasi promo tidak bisa dimatikan, kebanyakan kirim spam ke email. Edit: ga efek, jelas ini bukan bug, tapi disengaja",1,Negatif
Payah setelah update malah ngebug. Tolong diperbaiki,1,Negatif
Traveloka sangat membantu dan mudah transaksi dimana saja,5,Positif
respon aplikasi cepat dan sangat baik,5,Positif
"Cepat, Singkat, mudah...",5,Positif
"Untuk Developer Traveloka. Traveloka : Book Tiket & Hotel Sangat Bermanfaat, Terus Tingkatkan Fitur Dan Kualitas Di Dalam Aplikasi.",5,Positif
"Traveloka sangat buruk, masa kit pengajuan refund di tolak dengan alasan sudah di check in ? Padahal tidak perna check in dan pengajuan 6 jam sebelum keberangkatan, sama pihak Traveloka di suru menghubungi pihak Lion,tetapi ternyata yang Uda melakukan checkin dari pihak Traveloka nya sendiri biar tidak ngembalika uangnya , pelayanannya buruk sangat buruk Permainnya sangat jelek",1,Negatif
"Saya kesulitan untuk melakukan pembayaran tagihan paylatter karena metode pembayaran tdk bisa d klik/d pilih,, akhirnya kena denda,,,",3,
Jangan pernah mau beli tiket bus di Traveloka ga jelas ga ada yang bisa respon jika di luar kota di situ ada nomor telepon nya tapi ga respon,1,Negatif
sangat memudahkan dan membantu konsumen menentukan pilihan menginap sesuai hotel yg diinginkan,5,Positif
"Aplikasi perjalanan dan penginapan yg baik, karena selain banyak promo discount harga juga tepat dalam memberikan refund dana kepada konsumen.",5,Positif
"Berat bgt ni aplikasi,loadingnya lama.Kebanyakan vitur yg ga diperlukan deh,terakhit pake tahun kemarin masih enak tuh,tp sekarang ga bgt ini ada fitur explore segala terus menu utama ga di tampilin didepan,cuman ada pilihan pesawat sama hotel doang.Pas mau nyari bis,loadingnya lama bgt ga muncul sama sekali heran padahal sinyal lancar buat aplikasi lain jg oke.",2,Negatif
"lebih mudah,simple dalam transaksi apapun selain tiket dan hotel",5,Positif
"Syg bgt untuk hotel / apartnya , tipu² di ket ada kolam renang nyatanya tdk. Mengecewakan sekali.",1,Negatif
terimakasih respon pelayanan sangat baik dengan harga sesuai dan amanah,5,Positif
memudahkan spa pun yg mengadakan perjalanan... terima kasih atas pelayanannya. smg makin sukses...aamiin,5,Positif
"Saya minta kejelasan kenapa limit paylater saya JD turun setelah di-update...ini sistem yg eror apa aplikasinya yg aba2.saya minta dikembalikan kembali limit paylater saya seperti semula,secepatnya,parah bgt sistemnya Traveloka, kalau sistemnya seperti ini gmn BS berkembang perusahaan yg ada castumer pada kabur semua,JD tolong dicek kembali akun saya dan secepatnya limit dikembalikan kesemula",1,Negatif
"Aplikasi bagus dan sangat membantu, hanya saja ada tambahan2 konten lain yg membuat menjadi kurang nyaman. Antara lain, berbagai macam Asuransi, ketika sudah memilih penerbangan, salah satu Asuransi langsung terpilih juga. Jika tidak jeli, akan merugikan Konsumen/calon penumpang. Kalau Asuransi bagus dan mudah dlm claim sih ga masalah. Saya punya pengalaman sendiri, rajin pke Asuransi perjalanan, namun begitu ada keterlambatan maskapai, klaim nya sangat rumit, tidak semudah pendaftaran.",5,Positif
Ada pilihan reschedule(ubah jadwal pemberangkatan).tpi stelah di pilih tdk ada jadwal penerbangan di tgl yg mau kita ubah.stlh pake akun lain ada jadwal pemberangkatan sesuai tgl dan tjuan yg mau kita tuju.jd kita di pksanya utk membatalkan pemberangkatan dan itu di potong kurang lbih 300rb dr hrg tiket.balek uangnya jangka wktu 3 bln.jd reschedule di Traveloka itu hanya pajangan/menipu knsumen aja,1,Negatif
mudah dan lengkap promo mantap,5,Positif
sangat membatu dlm pemesana hotel sesuai kebutuhan,5,Positif
1x pesen hotel sampai sana fiktif..hotel palsu 1x pesen hotel lg sampai sana suruh bayar lagi atau suruh nambah 1 x pesen bus ga bisa dibantu reschedule padahal tanggal belum terlewat,1,Negatif
cepat dan gak bertele mantap,5,Positif
"Kenapa setelah update, jadi sering keluar sendiri saat membuka aplikasi nya",3,
"Sampai saat ini aplikasi traveloka gak bisa log in, Setiap buka pasti diminta konfirmasi WA atau SMS, tapi kode gak dikirim. WA dan SMS tidak dikirim, sinyal HP bisa nerima yg lain hny dari traveloka gak fungsi",2,Negatif
sangat membantu dlm pencarian hotel maupun pesawat,5,Positif
Setiap pesan 2 pesanan slalu yg 1 nya e tiket tertunda. Tolong di perbaiki,2,Negatif
"good, tapi sayang paylater belum bisa di gunakan",3,
Harga nya cepet sekali berubah jd mahal,1,Negatif
"Akun paylater sy ga diapa apain tiba tiba di blok, ga akan maju traveloka, sama aja mempermainkan konsumen. Alasan ada transaksi mencurigakan,, orang ga transaksi apapun, emang ga bisa apa dicek sistem. #teamterkaiteror",1,Negatif
"metode pembayaran kurang lengkap, dan kurang intruksi untuk pembayaran",4,Positif
Uda mau bayar tapi di persulit pembayaran kode pembayaran tidak keluar selalu keluar di menu awal terus gimana mau bayar apa di sengaja biar kenak denda telat pembayaran!!!!!,1,Negatif
Traveloka eats kok ga bisa di buka padahal sudah update terus tolong dong di perbaiki kalau ga bisa perbaiki hapus aja Traveloka eats nya,1,Negatif
"Kenapa update perubahan jam penerbangan tidak terupdate di aplikasi traveloka dan tidak ada pemberitahuan. Pemberitahuan via WA itu sangat rentan terhadap scammer, jadi saran saya setiap perubahan/update harusnya langsung bisa di aplikasi.",1,Negatif
cepat bagus pelayanan nya 👍👍,5,Positif
"Tolong dong traveloka ,,, jangan asal main naik turun limit seenaknyaa... anda itu kan butuh nasabah kecuali kalau saya bayarnya ga lancar... sisa limit masih ada tiba tiba seenaknya diturunin.. trs jadi 0 ,pdhl bayar lancar ga ada tunggakan.. anda ini NIAT GA NGASIH LIMIT KE NASABAH?? sebel bgt gw berasa dimaenin sama nih aplikasi.. saya itu justru nasabah tanggung jawab..sering pakai juga.. lah ini naik turunin limit seenaknya. kecewa saya lama lama ga akan saya pake lagi jg nih bikin kapok",1,Negatif
"Ketika pesan tiket harga tertera 800ribuan ketika mengisi bagian pembayaran langsung tertulis ""harga tiket telah berubah"".. sudah sy coba 20x seperti itu terus.. ini bug aplikasi atau sengaja prank calon konsumen..",1,Negatif
"Dengan traveloka semua jadi mudah ,sukses dan maju selalu Traveloka",5,Positif
"Saya sangat kecewa dengan layanan Traveloka, waktu keberangkatan dengan di bandara tidak sesuai dan mengakibatkan tiket saya hangus, tidak jadi berangkat, khususnya Citilink saya sangat kecewa, sangat kecewa.. Apakah tidak ada keringanan kembali bagi saya.",1,Negatif
Aplikasi sangat jelek. Mnta bukakan akun yg dibekukan ga ada respon Klian. Harus nlvn berbayar yg sangat mahal dan bertele tele,1,Negatif
Sangat mudah dalam mendapatkan ticket . Tidak perlu ribet cukup tekan semua sudah selesai .,4,Positif
mantap banget promo nya,5,Positif
"keren banget sih, bisa dapet reward",5,Positif
"Setelah update. Malah gak bisa bocking tiket pesawat. Sudah pake tujuan penerbangan pas klik cari harganya, langsung kembali ke beranda semula😴",1,Negatif
sangat membantu untuk perjalanan,5,Positif
Dear Traveloka paylater. Mhn bantuan utk aktifkan paylater saya. Krn sy sdh pesan hotel dua x dengan cash. Saat tdk ada dana paylater bs saya gunakan. Mksh mhn di respon ya 🙏,5,Positif
Level Diturunkan dengan tidak jelas.. padahal bayar tidak pernah nunggak..kecewa dah !!! Mohon Profesionalitas nya ditingkatkan lbh baik lg !!!,1,Negatif
"Aplikasi mengecewakan, sudah boking Tiket pesawat sudah dibayar tapi gak diverifikasi, mana harus nunggu 5 hari kerja buat dana bisa kembali, itupun kalo gak kembali otomatis harus disuruh ke bank lagi bikin repot ini aplikasi",1,Negatif
"No hp dan password salah, padahal sudah saya ganti tetep aja salah",2,Negatif
"Trimakasih Traveloka, sangat membantu dan semua jadi lebih mudah...",5,Positif
"Sbg penguna traveloka yg sdh bertahun tahun Sebenarny sih nga ada masalah dan termasuk lancar dalam pembelian tiket pesawat maupun hotel.kecewany di cek in online,dulu di traveloka masih bisa cek in online tapi utk skng nga bisa lagi,sdh beberapa kali pesan tapi nga ada juga muncul tulisan yg biasanya ada ""sudah bisa cek in online"" Walaupun waktu penerbangan kurang dari 12 jam ato 10 jam sebelumny Yg muncul hanya tulisan "" e tiket telah terbit "" So sama sekali nga bisa cek in online.",2,Negatif
Apk sudah bagus dan sangat berguna bagi kalian yg Kurang suka antri apk ini sangat cocok Mesan melalui online nyampe hotel tinggal check in,5,Positif
"Merasa di prank, di awal pengisian data dll harga gk berubah saat klik pembayaran kok tiba2 harga naik gk kira2. Dear castumer, pleaseee jgn percaya klo tiketnya murah !!!!!!",1,Negatif
cukup puas...hanya tdk ada promo tiket murah🤭🤭,5,Positif
"mudah digunakan, sangat membantu",5,Positif
"pembayaran sulit. tidak ada QRIS, ke gerai terdekat juga sulit. maksimal 2.500.000, lebih dari itu harus 2 kali pembayaran menggunakan BCA atau Mandiri",5,Positif
"cepat akurat, tidak mahal",5,Positif
mudah digunakan dan sangat membantu,5,Positif
Bintang saya kurangi dl sampe saya mndapat bukti pelunasan paylater yg blm jg saya dapatkan hingga detik ini. 3X unggah bukti pembayaran/pelunasan paylater saya kira sdh brlebihan jika sistemnya waras.,3,
Untuk pembayaran coba bisa di toko ritail kaya Alfa n Indomaret kayaknya enak ini repot kalau mau bayar,3,
sangat senang memakai traveloka,5,Positif
"Saya mau tanya kenapa fitur bioskop nya tidak ada lagi di aplikasi Traveloka, padahal klu ada kan lebih memudahkan untuk pesan tiket nonton bioskop",4,Positif
2 kali pesan tiket pesawat dan hotel sudah di pastikan tgl dan bulan benar. Pas di pesan malah salah bulanlah salah tgl lah. Ini gimana ya. Telfon customer service malah tdk membantu sama sekali,1,Negatif
"pesanan tiket sangat membantu, sukses selalu utk traveloka",5,Positif
pesan kereta api jd semudah ketik di hp,5,Positif
"kenapa kalo pembayaran pake visa ga minta verifikasi, tp lgsg proses",4,Positif
Berfungsi banget untuk ingin mengeksplorasi hal² baru 😭🙌🏻🔥!!!!!,5,Positif
"Pembayarannya ribet sekarang, pake UANGKU sdh di top up, saat check out suruh masukin credit card, sdh di masukin jg. Saat mau check out masih aja metode pembayaran gak bisa di pilih. Lha yang aplikasi UANGKU buat apa suruh top up. Gak bisa refund ya yg UANGKU itu?",1,Negatif
kenapa loading lama banget sih padahal jaringan bagus,2,Negatif
sangat jelas ptnjuk dan ada asuransi jg,4,Positif
"Sengaja kesini, karna di cs nya ga nemu solusi, jadi setiap pas sudah klik setuju pay at nungguin SMS , SMS nya ga pernah ada, password nya kan isi secara otomatis, tapi ga pernah ada sampe pesanan batal sendiri karna ga ga ada proses verifikasi password nya ga ada terus",2,Negatif
"Proses refund nya terlalu lama, diajukan dan disetujui 30 april, sampe sekarang belum dikirim",2,Negatif
"Infonya tgl 27 bisa mendaftar paylater pas sudah tgl 27 tulisannya ada masalah server coba lagi nanti , ini sebenernya mau kasih fasilitas apa cuman mau pamer doang",2,Negatif
"ga pernah masalah utk pesan tiket mauoun hotel, dan mudah digunakan",5,Positif
"Cukup membantu, tingkatkan kapasitas jaringan biar ga muter terus, klo rebutan cari tiket ga keduluan sama toko sebelah.. 🙏",5,Positif
"Update kursi kereta ngak jelas, bisa di pilih kursi ternyata setelah selesai pembayaran jadi kursi random",1,Negatif
"Pernah Dobel pemesanan.. Minta pengajuan pembatalan tapi gak ada respon.. Berharap saldo paylater kembali, ehh malah gak ada respon.. Makin kesini makin susah aja nih traveloka..",3,
"Gak ada masalah sih sebenarnya dgn pesanan tiket ataupun booking hotel,, tp yg saya sesalkan,, sudah bertahun2 saya memakai aplikasi ini buat booking tiket pesawat tp setiap ngajukan paylater tdak pernah di setujui,,,PARAH Sorry traveloka",2,Negatif
"terimakasih, sangat membantu disaat urgent, untuk perjalanan nengok orang tua teman lagi sakit.",5,Positif
bagiku Traveloka yang terbaik selama 15 tahun selalu menemani di setiap saat selalu memberikan yang terbaik bets pokoknya menjamin keamana pembelian tiket khusus nya sekse selalu Traveloka,5,Positif
"Pelayanannya sangat memuaskan. Customer fast respon. Wlu kadang byk harga yg jauh dibawah, tp lbh pilih Traveloka. Mau reschedule, cancel dll sangat dibantu sm cs nya. Sll ada solusi tiap kendala. Memuaskan",5,Positif
"bagus bermanfaat, untuk melihat"" harga juga",5,Positif
"Apk bagus,,,,pemesanan cepat dan akurat, mudah untuk traveling dan pemesanan akomodasi lainnya, sukses terus Traveloka.",5,Positif
Sangat mudah dan banyak membantu saya 🥰🥰 Terimakasih Traveloka 🤗🤗,5,Positif
Tolong bantu nomor lama saya sudah tidak bisa diverifikasi lagi karena saya tak memakai nomor lama,1,Negatif
sungguh sangat membantu.. trimakasi traveloka👍👍,5,Positif
Oke aplikasinya bagus memudahkan buat penggunanya amin,5,Positif
Otw uninstal. Terlalu ribet ganti nama aja perlu pin. Pin nya aja ga bisa di masukin. Bikin pin baru aja harus berulang2,1,Negatif
"Susah sekali ngajuin refund, karena ada pergantian schedule oleh maskapai, sudah 1 minggu terus2an sistem error. Ada solusi?",3,
Maaf ni sebelumnya. Kenapa ya paylater saya ngk bisa dibayar. Dan selalu ngebug saat mau pembayaran di paylater saya. Sampe saat paylater saya blum bisa buat dibayar. Soalnya ada tgihan si. Walaupun ngk banyak,1,Negatif
"Pelayanan di Traveloka the best banget pokoknya. Mantap betul. Kemaren pernah transaksi dan salah nominal transfer, dan itu di cepet banget di tanggapin sama mereka 😍 recommended pokoknya 🤗",5,Positif
sudah mudah dan cepat,1,Negatif
Alhamdulillah mempermudah perjalanan,5,Positif
"Saran aja nih, untuk fitur Filter bisa di tambahkan short by rating atau pilihan rating utk 8 ke atas misalnya, sama bisa kasih fitur juga utk total harga ketika pencarian, jadi klo kita mau nginap 3 ato 4 ato lebih malam bisa langsung tau total harga ketika searching hotelnya. Itu akan sangat memudahkan pengguna.",5,Positif
"Pembayaran berhasil, tapi skor masih rendah. Pembayaran via BRI BNI eror mulu yg ada hanya lewat mandiri dan BCA gmana sih",2,Negatif
"sangat mudah dan cepat proses reservasi, terima kasih",5,Positif
"Sebenarnya fitur Traveloka bagus dan menarik, transaksi ok cuma sedikit pertanyaan kenapa limit payletter nya mendadak turun padahal pembayaran on time lebih sering jauh sebelum jatuh tempo sudah dibayar, ini mendadak turun limit padahal pembayaran gak pernah bermasalah",5,Positif
"Kenapa setiap bayar harus ke ATM , gk bisa pakek m-banking... Agak merepotkan kalau ke ATM.",4,Positif
pelayananan dan respon sangat baik saya sangat puas harga yang di tawarkan juga sangat bagus . terimakasih traveloka,4,Positif
"Sudah 2 kali beli tiket pesawat di sini,, belum ada yg mengecewakan",4,Positif
"Saya kecewa dengan pelayanan Traveloka atas pembelian tiket Garuda Indonesia hari ini untuk hari Minggu tujuan Gorontalo. Sistem pengaduan hanya robot,dan feedback lama. Penggantian refund hanya 1.8 juta dari harga tiket 2.6 juta. Bapak/ibu saya saya sarankan pindah ke aplikasi travels yang lain,karena mereka sudah tidak bisa memenuhi pelayanan dan cenderung merugikan konsumen..contoh seperti saya dan istri saya",1,Negatif
"Bapak ibu, jangan percaya dengan sistem traveloka pembatalan.. Saya kecewa dengan kejadian hari ini bahwa mereka hanya mengganti refund saya sebesar 65℅ atau sekitar 1.8 juta dari harga tiket 2.6 juta. Sistem pengaduan hanya robot dan susah dihubungi untuk konfirmasi pembatalan.. Lebih baik pake aplikasi travels yang lain",1,Negatif
praktis dan sangat mudah untuk di akses,5,Positif
"App tidak jelas buat pengguna RUGI !!! bikin keliru pengguna, pilih tujuannya di tampilkan semua bukan sesuai kabupaten, app TIDAK MAU BERTANGGUNG JAWAB!!!",1,Negatif
Traveloka apa lagi gangguan ya? Kok tiap mau booking tiket balik ke homepage terus ya,5,Positif
bagus perjalanan selalu lancar,5,Positif
"agak sulit bagi pengguna pemula,tpi setelah masuk aplikasi,semuanya lancar & mudah",5,Positif
"Sbg pengguna traveloka sangat kecewa pernah mengalami pembatalan/Cancel sepihak dr maskapai, shg terpaksa membeli tiket lebih mahal krn mendekati hari H keberangkatan. Walau kami membeli full insurance, tidak ada kompensasi apapun, jadi sama saja dng yg tdk membeli asuransi tambahan. Dari pengalaman ini percuma beli asuransi tambahan ..tidak ada guna dan tidak ada beda yg beli asuransi dng yg tanpa beli. Padahal kami membeli asuransi tambahan utk antisipasi jika terjadi pembatalan oleh maskapai",1,Negatif
Dah bagus. Hanya sedikit masukan. Semoga ke depannya Traveloka menyajikan lebih inklusif dg menambahkan 1 keterangan atau 1 service untuk penumpang Disabilitas yang tertera pada tiket . Terima kasih.,5,Positif
traveloka mempermudah perjalanan kami,5,Positif
Iklan banyak banget nih app sampah,1,Negatif
"Halo traveloka ,sekedar saran saja .. kalau bisa traveloka paylater bisa di gunakan untuk semua fitur di aplikasi traveloka .. jangan di batasin ,karena kita gak selalu butuh tiket dan hotel .. terimakasih semoga di dengar saran saya",5,Positif
Baru juga dwonload udh di suruh update,1,Negatif
mudah pemesanannya tanpa ribet,5,Positif
"Aplikasi tolol, masa ngisi data diri disuruh ngerubah nama perusahaan tempat kerja, idiot bgt, mana ga bisa cek jadwal kereta lagi",1,Negatif
mudah gampang pemesanannya.aman terpercaya.kalo bisa tambahkan diskon untuk pengguna lama.terima kasih,5,Positif
"sangan membantu dalam pembelian tiket, pesan hotel dll tidak perlu keluar rumah. Tingkatkan terus pelayanan",5,Positif
"Traveloka harga jangan berubah ubah dong jd males belanja disana, klo bs konsisten harga tetap",3,
lumayan lah ini aplikasi. aku booking hotel tapi salah pilih tanggal karena pilihnya pas dimobil jadi kurang teliti dan keterangannya not refundable tapi dibantu sama pihak hotel dan traveloka akhirnya bisa refund 100%. pelayanan CSnya lumayan walaupun agak dioper2 keluhannya. not bad lah ini aplikasi,5,Positif
"Terima kasih pelayanan refund nya, Sangat baik pelayanan refund dan rescdule tiket hotel",5,Positif
Pelayanan Traveloka Awesome dan Terpecaya.,5,Positif
kecewa ma treveloka..masa smpai sekarang paylater aku kok gak acc yaaa..padahal uda lama pake treveloka..,5,Positif
sangat membantu dan mempermudah terimakasih Traveloka 🙏🙏🙏,5,Positif
"Mau verifikasi pembelian aja lama banget padahal Internet stabil, ampas!!",2,Negatif
"mudah, flexible dan harga yg Kompetitif",5,Positif
Tiba2 ada yg melakukan transaksi di akun saya ketika saya sedang melakukan pemesanan tiket juga. Mana pake paylater. Problemsolvingnya sangat lambat! Saya gk mau ya bayar tagihan yg memang saya tidak pesan!,1,Negatif
Amzing & Best App Selama ini saya selalu memesan hotel dan tiket pesawat Sky Team di aplikasi traveloka tidak pernah mengalami kendala sama sekali selama dua tahun semoga kedepannya lebih baik lagi,5,Positif
Koq aplikasi bioskopnya gag ada muncul lagi sich di tampilan beranda nya...knpa malah di hilangkan menu bioskop nya,1,Negatif
"sangat membantu, fitur mudah digunakan",5,Positif
