content,score,Label,text_clean,text_StopWord,text_tokens,text_steamindo
cepat dan efisien,5,Positif,cepat dan efisien,cepat efisien,"['cepat', 'efisien']",cepat efisien
sangat membantu dalam perjalanan,5,Positif,sangat membantu dalam perjalanan,membantu perjalanan,"['membantu', 'perjalanan']",bantu jalan
"Banyak kupan ga bisa di pake,banyak point' ga bisa di tuker..buat apa coba kalo pungsinya cuma hiasan..aneh aneh saja..",2,Negatif,banyak kupan ga bisa di pakebanyak point ga bisa di tukerbuat apa coba kalo pungsinya cuma hiasananeh aneh saja,kupan ga pakebanyak point ga tukerbuat coba kalo pungsinya hiasananeh aneh,"['kupan', 'ga', 'pakebanyak', 'point', 'ga', 'tukerbuat', 'coba', 'kalo', 'pungsinya', 'hiasananeh', 'aneh']",kup ga pakebanyak point ga tukerbuat coba kalo pungsi hiasananeh aneh
"mantap Traveloka , proses Cepat...Terimakasih wassalam.",5,Positif,mantap traveloka  proses cepatterimakasih wassalam,mantap traveloka proses cepatterimakasih wassalam,"['mantap', 'traveloka', 'proses', 'cepatterimakasih', 'wassalam']",mantap traveloka proses cepatterimakasih wassalam
sangat mudah untuk semua urusan,5,Positif,sangat mudah untuk semua urusan,mudah urusan,"['mudah', 'urusan']",mudah urus
Punya limit tapi gak bisa di pakai virtual number padahal sudah level platinum 2 dah limit blum ke pakai sampai 20 persen tapi udah gak bisa di pakai aneh,2,Negatif,punya limit tapi gak bisa di pakai virtual number padahal sudah level platinum  dah limit blum ke pakai sampai  persen tapi udah gak bisa di pakai aneh,limit gak pakai virtual number level platinum dah limit blum pakai persen udah gak pakai aneh,"['limit', 'gak', 'pakai', 'virtual', 'number', 'level', 'platinum', 'dah', 'limit', 'blum', 'pakai', 'persen', 'udah', 'gak', 'pakai', 'aneh']",limit gak pakai virtual number level platinum dah limit blum pakai persen udah gak pakai aneh
mudah pembayarannya dan pemesanan nya,5,Positif,mudah pembayarannya dan pemesanan nya,mudah pembayarannya pemesanan nya,"['mudah', 'pembayarannya', 'pemesanan', 'nya']",mudah bayar mesan nya
memberikan kemudahan perjalanan dan banyak promo nya,5,Positif,memberikan kemudahan perjalanan dan banyak promo nya,kemudahan perjalanan promo nya,"['kemudahan', 'perjalanan', 'promo', 'nya']",mudah jalan promo nya
Sy ganti jadi 5 bintang. Setelah e tiket akhirnya muncul. Terimakasih atas bantuannya traveloka,5,Positif,sy ganti jadi  bintang setelah e tiket akhirnya muncul terimakasih atas bantuannya traveloka,sy ganti bintang e tiket muncul terimakasih bantuannya traveloka,"['sy', 'ganti', 'bintang', 'e', 'tiket', 'muncul', 'terimakasih', 'bantuannya', 'traveloka']",sy ganti bintang e tiket muncul terimakasih bantu traveloka
"puas dengan pelayanannya, terimakasih dari dulu pake traveloka gak pernah gagal saya 🙏",5,Positif,puas dengan pelayanannya terimakasih dari dulu pake traveloka gak pernah gagal saya ,puas pelayanannya terimakasih pake traveloka gak gagal,"['puas', 'pelayanannya', 'terimakasih', 'pake', 'traveloka', 'gak', 'gagal']",puas layan terimakasih pake traveloka gak gagal
Sekarang saya kasih bintang empat dulu karena saya dulu pernah pesan tiket di aplikasi traveloka tapi tidak bisa di rescudle atau pengembalian biaya tiket🙏,4,Positif,sekarang saya kasih bintang empat dulu karena saya dulu pernah pesan tiket di aplikasi traveloka tapi tidak bisa di rescudle atau pengembalian biaya tiket,kasih bintang pesan tiket aplikasi traveloka rescudle pengembalian biaya tiket,"['kasih', 'bintang', 'pesan', 'tiket', 'aplikasi', 'traveloka', 'rescudle', 'pengembalian', 'biaya', 'tiket']",kasih bintang pesan tiket aplikasi traveloka rescudle kembali biaya tiket
Sangat2 membantu kalo mau pesan2 tilet,5,Positif,sangat membantu kalo mau pesan tilet,membantu kalo pesan tilet,"['membantu', 'kalo', 'pesan', 'tilet']",bantu kalo pesan tilet
praktis dan cepat,5,Positif,praktis dan cepat,praktis cepat,"['praktis', 'cepat']",praktis cepat
"Mahalllll.. murah aplikasi sebelah.. paylatter yg pembayarannya bagus, status sehat tiba2 gak bs di pakai lagi.. PINDAH KE APLIKASI SEBELAH SAJA.. LEBIH JELAS",1,Negatif,mahalllll murah aplikasi sebelah paylatter yg pembayarannya bagus status sehat tiba gak bs di pakai lagi pindah ke aplikasi sebelah saja lebih jelas,mahalllll murah aplikasi sebelah paylatter yg pembayarannya bagus status sehat gak bs pakai pindah aplikasi sebelah,"['mahalllll', 'murah', 'aplikasi', 'sebelah', 'paylatter', 'yg', 'pembayarannya', 'bagus', 'status', 'sehat', 'gak', 'bs', 'pakai', 'pindah', 'aplikasi', 'sebelah']",mahalllll murah aplikasi belah paylatter yg bayar bagus status sehat gak bs pakai pindah aplikasi belah
cepat dan ringkas,5,Positif,cepat dan ringkas,cepat ringkas,"['cepat', 'ringkas']",cepat ringkas
"Pokoknya aku mau batalin pesanan saya karena saya tidak bisa menginap karena salah memilih waktu, seharusnya kalian paham masalah ini, kalo kalian egois menutup mata dan tidak peduli. Kami pelanggan akan berhenti pakai kalian. Kalian harusnya pahami klo orang bisa salah memilih. Tidak menutup kemungkinan saya tidak akan bayar paylatter kalian, karena tidak merasa memakai yang di pesan",1,Negatif,pokoknya aku mau batalin pesanan saya karena saya tidak bisa menginap karena salah memilih waktu seharusnya kalian paham masalah ini kalo kalian egois menutup mata dan tidak peduli kami pelanggan akan berhenti pakai kalian kalian harusnya pahami klo orang bisa salah memilih tidak menutup kemungkinan saya tidak akan bayar paylatter kalian karena tidak merasa memakai yang di pesan,pokoknya batalin pesanan menginap salah memilih paham kalo egois menutup mata peduli pelanggan berhenti pakai pahami klo orang salah memilih menutup bayar paylatter memakai pesan,"['pokoknya', 'batalin', 'pesanan', 'menginap', 'salah', 'memilih', 'paham', 'kalo', 'egois', 'menutup', 'mata', 'peduli', 'pelanggan', 'berhenti', 'pakai', 'pahami', 'klo', 'orang', 'salah', 'memilih', 'menutup', 'bayar', 'paylatter', 'memakai', 'pesan']",pokok batalin pesan inap salah pilih paham kalo egois tutup mata peduli langgan henti pakai paham klo orang salah pilih tutup bayar paylatter pakai pesan
Traveloka sangat membantu mencari transportasi dan hotel dengan harga dan hari sesuai kebutuhan.,5,Positif,traveloka sangat membantu mencari transportasi dan hotel dengan harga dan hari sesuai kebutuhan,traveloka membantu mencari transportasi hotel harga sesuai kebutuhan,"['traveloka', 'membantu', 'mencari', 'transportasi', 'hotel', 'harga', 'sesuai', 'kebutuhan']",traveloka bantu cari transportasi hotel harga sesuai butuh
sukses selalu untuk Traveloka,5,Positif,sukses selalu untuk traveloka,sukses traveloka,"['sukses', 'traveloka']",sukses traveloka
pemesanan mudah dan lancar,5,Positif,pemesanan mudah dan lancar,pemesanan mudah lancar,"['pemesanan', 'mudah', 'lancar']",mesan mudah lancar
Sudah hampir 3 thn paylater di nonaktifan,1,Negatif,sudah hampir  thn paylater di nonaktifan,thn paylater nonaktifan,"['thn', 'paylater', 'nonaktifan']",thn paylater nonaktif
mudah cepat dan aman,5,Positif,mudah cepat dan aman,mudah cepat aman,"['mudah', 'cepat', 'aman']",mudah cepat aman
memudahkan untuk semua keperluan akomodasi dan transportasi,5,Positif,memudahkan untuk semua keperluan akomodasi dan transportasi,memudahkan keperluan akomodasi transportasi,"['memudahkan', 'keperluan', 'akomodasi', 'transportasi']",mudah perlu akomodasi transportasi
"Lumayan ada peningkatan, mohon untuk ditingkatkan terkait Payment nya agar tidak terjadi error atau pengulangan",5,Positif,lumayan ada peningkatan mohon untuk ditingkatkan terkait payment nya agar tidak terjadi error atau pengulangan,lumayan peningkatan mohon ditingkatkan terkait payment nya error pengulangan,"['lumayan', 'peningkatan', 'mohon', 'ditingkatkan', 'terkait', 'payment', 'nya', 'error', 'pengulangan']",lumayan tingkat mohon tingkat kait payment nya error ulang
"Penggunaaanya mudah, refund proses cepat",5,Positif,penggunaaanya mudah refund proses cepat,penggunaaanya mudah refund proses cepat,"['penggunaaanya', 'mudah', 'refund', 'proses', 'cepat']",penggunaaanya mudah refund proses cepat
semua menjadi gampang dan mudah melalui aplikasi terpercaya,5,Positif,semua menjadi gampang dan mudah melalui aplikasi terpercaya,gampang mudah aplikasi terpercaya,"['gampang', 'mudah', 'aplikasi', 'terpercaya']",gampang mudah aplikasi percaya
"Mohon maaf untuk kinerja dan pelayananya, saya sudah ajukan pylater berkali2x dengan data yg benar. Trimksh atas ketidak percayaan pihak traveloka dan mohon data saya di hilangkan juga",1,Negatif,mohon maaf untuk kinerja dan pelayananya saya sudah ajukan pylater berkalix dengan data yg benar trimksh atas ketidak percayaan pihak traveloka dan mohon data saya di hilangkan juga,mohon maaf kinerja pelayananya ajukan pylater berkalix data yg trimksh ketidak percayaan traveloka mohon data hilangkan,"['mohon', 'maaf', 'kinerja', 'pelayananya', 'ajukan', 'pylater', 'berkalix', 'data', 'yg', 'trimksh', 'ketidak', 'percayaan', 'traveloka', 'mohon', 'data', 'hilangkan']",mohon maaf kerja pelayananya aju pylater berkalix data yg trimksh tidak percaya traveloka mohon data hilang
"Kalo aku lagi buka aplikasi lain, kenapa aku selalu masuk ke traveloka nya! Aku lagi main game eh tiba-tiba malah masuk ke aplikasinya, ngeselin banget taulah!",1,Negatif,kalo aku lagi buka aplikasi lain kenapa aku selalu masuk ke traveloka nya aku lagi main game eh tibatiba malah masuk ke aplikasinya ngeselin banget taulah,kalo buka aplikasi masuk traveloka nya main game eh tibatiba masuk aplikasinya ngeselin banget taulah,"['kalo', 'buka', 'aplikasi', 'masuk', 'traveloka', 'nya', 'main', 'game', 'eh', 'tibatiba', 'masuk', 'aplikasinya', 'ngeselin', 'banget', 'taulah']",kalo buka aplikasi masuk traveloka nya main game eh tibatiba masuk aplikasi ngeselin banget tau
perjalanan jadi lebih mudah,5,Positif,perjalanan jadi lebih mudah,perjalanan mudah,"['perjalanan', 'mudah']",jalan mudah
"terimakasih traveloka,sangat membantu saya untuk mendapatkan tiket dg mudah.",5,Positif,terimakasih travelokasangat membantu saya untuk mendapatkan tiket dg mudah,terimakasih travelokasangat membantu tiket dg mudah,"['terimakasih', 'travelokasangat', 'membantu', 'tiket', 'dg', 'mudah']",terimakasih travelokasangat bantu tiket dg mudah
pross gampang dan menyenangkan,5,Positif,pross gampang dan menyenangkan,pross gampang menyenangkan,"['pross', 'gampang', 'menyenangkan']",pross gampang senang
"cepat, praktis, memudahkan",5,Positif,cepat praktis memudahkan,cepat praktis memudahkan,"['cepat', 'praktis', 'memudahkan']",cepat praktis mudah
Hasil cepat dan mudah serta memuaskan,5,Positif,hasil cepat dan mudah serta memuaskan,hasil cepat mudah memuaskan,"['hasil', 'cepat', 'mudah', 'memuaskan']",hasil cepat mudah muas
mantap dan cepat,5,Positif,mantap dan cepat,mantap cepat,"['mantap', 'cepat']",mantap cepat
apk nya bagus hrga juga ok hanya sja bingung dg kriteria paylater nya dibayar saldo aku gak kembali,5,Positif,apk nya bagus hrga juga ok hanya sja bingung dg kriteria paylater nya dibayar saldo aku gak kembali,apk nya bagus hrga ok sja bingung dg kriteria paylater nya dibayar saldo gak,"['apk', 'nya', 'bagus', 'hrga', 'ok', 'sja', 'bingung', 'dg', 'kriteria', 'paylater', 'nya', 'dibayar', 'saldo', 'gak']",apk nya bagus hrga ok sja bingung dg kriteria paylater nya bayar saldo gak
"App Traveloka Ini sangat membantu ,tapi sangat di sayangkan aja ,harga tiket yang di Tampilkan itu murah dan disaat sudah capek capek isi semua data ,pas mau pembayaran, Harganya naik 2x lipat 🙃🙃",2,Negatif,app traveloka ini sangat membantu tapi sangat di sayangkan aja harga tiket yang di tampilkan itu murah dan disaat sudah capek capek isi semua data pas mau pembayaran harganya naik x lipat ,app traveloka membantu sayangkan aja harga tiket tampilkan murah disaat capek capek isi data pas pembayaran harganya x lipat,"['app', 'traveloka', 'membantu', 'sayangkan', 'aja', 'harga', 'tiket', 'tampilkan', 'murah', 'disaat', 'capek', 'capek', 'isi', 'data', 'pas', 'pembayaran', 'harganya', 'x', 'lipat']",app traveloka bantu sayang aja harga tiket tampil murah saat capek capek isi data pas bayar harga x lipat
Harga yg tertera tidak sesuai dan makin mahal .ada kode unik dan pelayanan harus di bayar dan untuk mengirim bukti pembayaran harus kita sendiri yg mengetik email dan mengirimnya makin rumit aja .dulu sudah transfer lansung masuk di emaill,1,Negatif,harga yg tertera tidak sesuai dan makin mahal ada kode unik dan pelayanan harus di bayar dan untuk mengirim bukti pembayaran harus kita sendiri yg mengetik email dan mengirimnya makin rumit aja dulu sudah transfer lansung masuk di emaill,harga yg tertera sesuai mahal kode unik pelayanan bayar mengirim bukti pembayaran yg mengetik email mengirimnya rumit aja transfer lansung masuk emaill,"['harga', 'yg', 'tertera', 'sesuai', 'mahal', 'kode', 'unik', 'pelayanan', 'bayar', 'mengirim', 'bukti', 'pembayaran', 'yg', 'mengetik', 'email', 'mengirimnya', 'rumit', 'aja', 'transfer', 'lansung', 'masuk', 'emaill']",harga yg tera sesuai mahal kode unik layan bayar kirim bukti bayar yg etik email kirim rumit aja transfer lansung masuk emaill
"selalu mudah dan fumgsional, selalu mantap",5,Positif,selalu mudah dan fumgsional selalu mantap,mudah fumgsional mantap,"['mudah', 'fumgsional', 'mantap']",mudah fumgsional mantap
Mantap & cepat,5,Positif,mantap  cepat,mantap cepat,"['mantap', 'cepat']",mantap cepat
muantap mudah dan efisien,5,Positif,muantap mudah dan efisien,muantap mudah efisien,"['muantap', 'mudah', 'efisien']",muantap mudah efisien
"Saya booking apartemen untuk 3 hari, sudah lunas, dan konfirmasi jam check in.namun pada jam yg sudah diinfokan tidak ada pemilil property di lokasi, dan kontak yg dicantumkan justru platform lain (trav****). 1 jam baru direspon dan dipindah ke unit lain bahkan pindah tower. Diminta menunggu 2 jam. Payah sekali. Mengecewakan",1,Negatif,saya booking apartemen untuk  hari sudah lunas dan konfirmasi jam check innamun pada jam yg sudah diinfokan tidak ada pemilil property di lokasi dan kontak yg dicantumkan justru platform lain trav  jam baru direspon dan dipindah ke unit lain bahkan pindah tower diminta menunggu  jam payah sekali mengecewakan,booking apartemen lunas konfirmasi jam check innamun jam yg diinfokan pemilil property lokasi kontak yg dicantumkan platform trav jam direspon dipindah unit pindah tower menunggu jam payah mengecewakan,"['booking', 'apartemen', 'lunas', 'konfirmasi', 'jam', 'check', 'innamun', 'jam', 'yg', 'diinfokan', 'pemilil', 'property', 'lokasi', 'kontak', 'yg', 'dicantumkan', 'platform', 'trav', 'jam', 'direspon', 'dipindah', 'unit', 'pindah', 'tower', 'menunggu', 'jam', 'payah', 'mengecewakan']",booking apartemen lunas konfirmasi jam check innamun jam yg info pemilil property lokasi kontak yg cantum platform trav jam direspon pindah unit pindah tower tunggu jam payah kecewa
saya sangat sukak pakai aplikasi Traveloka Krn sangat mudah untuk ber transaksi .. traveling k. mana aja TKS u,5,Positif,saya sangat sukak pakai aplikasi traveloka krn sangat mudah untuk ber transaksi  traveling k mana aja tks u,sukak pakai aplikasi traveloka krn mudah ber transaksi traveling k aja tks u,"['sukak', 'pakai', 'aplikasi', 'traveloka', 'krn', 'mudah', 'ber', 'transaksi', 'traveling', 'k', 'aja', 'tks', 'u']",sukak pakai aplikasi traveloka krn mudah ber transaksi traveling k aja tks u
operasional mudah dan lancar,5,Positif,operasional mudah dan lancar,operasional mudah lancar,"['operasional', 'mudah', 'lancar']",operasional mudah lancar
Traveloka akhir² ini susah banget loginnya. Knp ya?? Beda dng aplikasi tiket pesawat yg lain.,2,Negatif,traveloka akhir ini susah banget loginnya knp ya beda dng aplikasi tiket pesawat yg lain,traveloka susah banget loginnya knp ya beda dng aplikasi tiket pesawat yg,"['traveloka', 'susah', 'banget', 'loginnya', 'knp', 'ya', 'beda', 'dng', 'aplikasi', 'tiket', 'pesawat', 'yg']",traveloka susah banget loginnya knp ya beda dng aplikasi tiket pesawat yg
Kecewa telat pembayaran 1hari level sama limit turunnya gede dari level 5 jadi 1 limit kecewa....... Udah mah bayar pade denda keterlambatan kecewa....,1,Negatif,kecewa telat pembayaran hari level sama limit turunnya gede dari level  jadi  limit kecewa udah mah bayar pade denda keterlambatan kecewa,kecewa telat pembayaran level limit turunnya gede level limit kecewa udah mah bayar pade denda keterlambatan kecewa,"['kecewa', 'telat', 'pembayaran', 'level', 'limit', 'turunnya', 'gede', 'level', 'limit', 'kecewa', 'udah', 'mah', 'bayar', 'pade', 'denda', 'keterlambatan', 'kecewa']",kecewa telat bayar level limit turun gede level limit kecewa udah mah bayar pade denda lambat kecewa
Sudah lama memgunakan traveloka bagus..,5,Positif,sudah lama memgunakan traveloka bagus,memgunakan traveloka bagus,"['memgunakan', 'traveloka', 'bagus']",memgunakan traveloka bagus
good job. Mohon aktif kan paylater saya lagi..saya sangat butuh untuk perjalanan ke luar daerah yg hampir setiap bulan saya jalani terimakasih,5,Positif,good job mohon aktif kan paylater saya lagisaya sangat butuh untuk perjalanan ke luar daerah yg hampir setiap bulan saya jalani terimakasih,good job mohon aktif paylater lagisaya butuh perjalanan daerah yg jalani terimakasih,"['good', 'job', 'mohon', 'aktif', 'paylater', 'lagisaya', 'butuh', 'perjalanan', 'daerah', 'yg', 'jalani', 'terimakasih']",good job mohon aktif paylater lagisaya butuh jalan daerah yg jalan terimakasih
bgs dan cepat prosesnya,5,Positif,bgs dan cepat prosesnya,bgs cepat prosesnya,"['bgs', 'cepat', 'prosesnya']",bgs cepat proses
"oke pake banget aplikasiny, tapi kalau bisa lebih mirah lagi harga2nya",5,Positif,oke pake banget aplikasiny tapi kalau bisa lebih mirah lagi harganya,oke pake banget aplikasiny mirah harganya,"['oke', 'pake', 'banget', 'aplikasiny', 'mirah', 'harganya']",oke pake banget aplikasiny mirah harga
Sangatt burukk!! Tranfer lewat virtual akun Saldonya gak masuk!! Hilang saldoku bangsatt,1,Negatif,sangatt burukk tranfer lewat virtual akun saldonya gak masuk hilang saldoku bangsatt,sangatt burukk tranfer virtual akun saldonya gak masuk hilang saldoku bangsatt,"['sangatt', 'burukk', 'tranfer', 'virtual', 'akun', 'saldonya', 'gak', 'masuk', 'hilang', 'saldoku', 'bangsatt']",sangatt burukk tranfer virtual akun saldo gak masuk hilang saldo bangsatt
"Programernya tolol, aplikasi kebanyakan popup, bikin lieur...ribet",1,Negatif,programernya tolol aplikasi kebanyakan popup bikin lieurribet,programernya tolol aplikasi kebanyakan popup bikin lieurribet,"['programernya', 'tolol', 'aplikasi', 'kebanyakan', 'popup', 'bikin', 'lieurribet']",programernya tolol aplikasi banyak popup bikin lieurribet
sangat mudah di gunakan. pembayaran juga mudah di lakukan,5,Positif,sangat mudah di gunakan pembayaran juga mudah di lakukan,mudah pembayaran mudah lakukan,"['mudah', 'pembayaran', 'mudah', 'lakukan']",mudah bayar mudah laku
"waktu pembayaran Via transfer HARUSNYA 24JAM, iya kalau yg mau beli tiket orang kota dimana-mana ada ATM. Kalau jauh dari kota ga ada ATM trus gimana, sulit kan.? tolong diperbaiki",4,Positif,waktu pembayaran via transfer harusnya jam iya kalau yg mau beli tiket orang kota dimanamana ada atm kalau jauh dari kota ga ada atm trus gimana sulit kan tolong diperbaiki,pembayaran via transfer jam iya yg beli tiket orang kota dimanamana atm kota ga atm trus gimana sulit tolong diperbaiki,"['pembayaran', 'via', 'transfer', 'jam', 'iya', 'yg', 'beli', 'tiket', 'orang', 'kota', 'dimanamana', 'atm', 'kota', 'ga', 'atm', 'trus', 'gimana', 'sulit', 'tolong', 'diperbaiki']",bayar via transfer jam iya yg beli tiket orang kota dimanamana atm kota ga atm trus gimana sulit tolong baik
"Kak ini gmna point nya bisa masuk ya kak, saya udh beli tiket kereta api tiket hotel dan tiket travel tpi poin nya gak ada yg masuk kak",5,Positif,kak ini gmna point nya bisa masuk ya kak saya udh beli tiket kereta api tiket hotel dan tiket travel tpi poin nya gak ada yg masuk kak,kak gmna point nya masuk ya kak udh beli tiket kereta api tiket hotel tiket travel tpi poin nya gak yg masuk kak,"['kak', 'gmna', 'point', 'nya', 'masuk', 'ya', 'kak', 'udh', 'beli', 'tiket', 'kereta', 'api', 'tiket', 'hotel', 'tiket', 'travel', 'tpi', 'poin', 'nya', 'gak', 'yg', 'masuk', 'kak']",kak gmna point nya masuk ya kak udh beli tiket kereta api tiket hotel tiket travel tpi poin nya gak yg masuk kak
"Baru update, lgi minta update. Update aplikasi terus. Klo blm fix jngan di share. Biar update 2 bulan sekali lah.",2,Negatif,baru update lgi minta update update aplikasi terus klo blm fix jngan di share biar update  bulan sekali lah,update lgi update update aplikasi klo blm fix jngan share biar update,"['update', 'lgi', 'update', 'update', 'aplikasi', 'klo', 'blm', 'fix', 'jngan', 'share', 'biar', 'update']",update lgi update update aplikasi klo blm fix jngan share biar update
"mudah dalam pembelian tiket, semoga semua berjalan dengan baik",5,Positif,mudah dalam pembelian tiket semoga semua berjalan dengan baik,mudah pembelian tiket semoga berjalan,"['mudah', 'pembelian', 'tiket', 'semoga', 'berjalan']",mudah beli tiket moga jalan
biar mencari harga yg sesuai kantong kita,5,Positif,biar mencari harga yg sesuai kantong kita,biar mencari harga yg sesuai kantong,"['biar', 'mencari', 'harga', 'yg', 'sesuai', 'kantong']",biar cari harga yg sesuai kantong
"Terima kasih Traveloka, ini sangat membantu sekali",5,Positif,terima kasih traveloka ini sangat membantu sekali,terima kasih traveloka membantu,"['terima', 'kasih', 'traveloka', 'membantu']",terima kasih traveloka bantu
